Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10
EURL DIMA-FRO ID;07 ROUTE DE TAXLENT N'GAOUS;BATNA;Algerie;033.88.85.13;033.88.70.92;contact@dimafoid-dz.com;;;
EURLDOMODZ;320 LOGTS ROUTE LES DUNES BT 12B 01 N°864CHERAGA 16000 ALGER;ALGER;Algerie;023.222.868;023.222.868;zakaria.bereksi@live.fr;;;
EURL DZ PROMO;LOTISEMENT COLONEL AMIROUCHE N°01 DOUAOUDA VILLE TIPAZA;TIPAZA;Algerie;024.30.82.05;024.30.82.05;CONTACT@DZPROMO.NET;;;
EURL ELECTROGENSET;CITE CHERIFI EST N°52 CHLEF;CHLEF;Algerie;0554 38 62 60/0560 93 70 70; 027 79 71 89;electrogeneset@hotmail.com;;;
EURL FAIZBOULONNERIEINDUSTRIELLE;HA I EL HAMIZ 03 LOT N°09 DAR EL BEIDA;ALGER;Algerie;023.865.555/023.86.55.55;023.86.54.56;fbi.algerie@hotmail.com;;;
EURL FARISSIA BTP;ZONE D'ACTIVITE 29 N° 03 ZERALDA . ALGER;ALGER;Algerie;021.45.21.68;021.45.21.64;farissiabtp@yahoo.fr;;;
EURL FA YALIFT;9 RUE ABDALLAH FERRAOUI LES PIN MARITIMES MOHAMMADIA 16058 ALGER;ALGER;Algerie;021 210 427/0770 67 93 34 ;021 21 04 27;contact@faylift.com/gen. manager@fayalift.com;;;
EURL FID;ZONE D'ACTIVITE 1 TRANCHE SETIF;SETIF;Algerie;023 84 21 87;023 84 22 10;f.mouloudi@fidsoudage-dz.com;;;
EURL GECODA RIMMOBILIER;RUE F LOT 493 SAFSAFA GUE DE CONSTANTINE;ALGER;Algerie;0550.74.08.27;;GECODAR.IMMOGMAIL.COM;;;
EURL GEDAC;Hamiz 04 spe 04 lot 11 Dar El Baida Alger;ALGER;Algerie;023.85.61.46;023.85.61.46;contact@gedac.com;;;
EURL GENERAL PROFILE;LOT 106 CLASSE N°07 DOMAINE KAIDI BORDJ EL KIFFAN ALGER;ALGER;Algerie;0550.90.32.43/023.94.26.27;023.94.25.26;info@generalprofile.com/commercial@generalprofile.com;;;
EURL GRILLAGE LUX;ROUTE DE MS I LA MECHTA FATIMA EL HAMADIA;BORDJ-BOU-ARRERIDJ;Algerie;0560 99 57 67/0557 33 52 25 ;;eurlgrillagelux@yahoo.com;;;
EURL HOSNA KAMEL;COOPERATIVE EL OUAHAT N°7, RUE DU 1er NOVEMBRE 1954 EL-EULMA 19600, W.SETIF;SETIF;Algerie;036 86 53 50/0555 71 97 07/0662.30.91.57 ;036 87 45 50;hosna_kamel @yahoo.fr/hosna.commercial@gmail.com;;;
EURL GUETTHERMIQUE;36 OUED HAMIMINE EL KHAROUB;CONSTANTINE;Algerie ;031.95.53.55;021.95.52.22;;;;
EURL HADDAD EQUIPEMENT PROFESSIONAL;D6 CITE DU LYCEE - ROUIBA 16072;ALGER;Algerie;021-85-49-05/0554.51.23.23;021-85-57-72;heprouiba@hotmail.com;;;
EURL HOUSE HE A T;CITE ENNASSIM ROUTE DE BATNA 5K M 01 LOCAL A;ALGER;Algerie;031 95 53 55;031 95 53 55;;;;
EURL HYDRO FLAMME;SNTPS EST GROUPE A N°10 EL HAMIZ DAR EL BEIDA ALGER;ALGER;Algerie;;;;;;
EURL INARA ASSURANCE;LOT 175 AISAT IDIR CHERAGA ALGER   ;ALGER;Algerie;661110000;023 30 10 57;REGAINA.S@GMAIL.COM;;;
EURL INVEST INOX;COOPERATIVE ENASR LOT N°95 KOUBA ALGER;ALGER;Algerie;023 45 08 90/91;021.45.08.87;contact@investinox.com;;;
EURL JETFLAIRPEINTURES IMPORT/EXPORT;CITE DES FRERES BORNI CHELGHOUM LAID W.MILA;MILA;Algerie;034.41.61.14;031.41.61.61.14;JETFLAIR.PEINTURES@GMAIL.COM;;;
EURL JOKER EQUIPEMENTS;MICRO ZONE INDUSTRIELLE N°27 DAR EL BEIDA ALGER;ALGER;Algerie;023.748.455;023.748.461;beggahmohamed@gmail.com;;;
EURL KRIBIMESSAOUD;GROUPE 72 SECTION 20 DELY-BRAHIM ALGER;ALGER;Algerie;0667.92.28.87;;;;;
EURL LAMRAOUISAID;N°100 ZONE DACTIVITE ET STOCKAGE KECHIDA - BATNA;BATNA;Algerie;33         22 52 96;33         22 52 98;saidlamraoui_eurl@hotmail.com/lamraouiman utention@yahoo.fr;;;
EURL LOGISTIBA T;CHEMIN DE LA GARE IGHZER AMOKRANE SHOWROOM IMMEUBLE KASSA BOUBEKEUR 22 ROUTE DE SIOI AHMED;BEJAIA;Algerie;034.17.51.04/034.17.51.39;034.17.51.04/034.17.51.39;logistibat@logistibat.com;www.logistibat.com;;
EURL MMAL;CAMPOS GR D LOT N°13 D.E.B ALGER;ALGER;Algerie;0560.21.73.83/0770.96.19.71/0560.20.51.97 ;;contact@mosaiquesdelux.com;;;
EURL MADERA ROBLE;Z.l RUE DES AURES;BEJAIA;Algerie ;;;marketing@mortero-dz.com;;;
EURL MAGHREBPANNEAUXSANDWICH;RUE DE 1 er NOVEMBRE ZAOUIA BENI TAMOU W.BLIDA;BLIDA;Algerie;025.31.70.27;025.31.70.30;eurlmps@gmail.com;;;
EURL MA YSAR CONSTRUCTION;32 RUE BORDEAU ALGERCENTRE ALGER;ALGER;Algerie;0560.88.29.33 ;;yemmi.medzaki@mail.com;;;
EURL MEDIFAOUZ;28, RUE BOUNATIROU DJELLOUL KOLEA W.TIPAZA;TIPAZA;Algerie;0555.04.57.86/89/024.38.97.00;024.38.50.01;medifaouz@gmail.com;;;
EURL MODHICHE IMP/EXP;CITE DE L'AVENIR RUE ZERHOUNI HOCINE SETIF;SETIF;Algerie;036.62.62.67;036.63.54.96;eurlmodhiche@yahoo.fr;;;
EURL MSB A T;11C CITE DES FRERES ZEDRI 09000 BLIDA;BLIDA;Algerie;025 32 41 04;025 35 41 02;contact@ms-bat.com;;;
EURL NFIDSA SIT;LOT N°37 BOUDEROUA COMMUNE OUED FRAGHA;GUELMA;Algerie;0660368107/0675794807;37122189;etsnfidsa@yahoo.fr;;;
EURL NUMIDIA ASSISTANCEETFOURNITUREINDUSTRIELLE;CITE EL ZHOR N°12 LOC N01 AIN SMARA 25140 CONSTANTINE;CONSTANTINE;Algerie;031 97 46 23;031 97 46 23;sarlnafi@gmail.com;;;
EURL OUTIL CROSSE;CITE 1262 LOGEMENTS DAR EL BE I DA ALGER;ALGER;Algerie;023.83 32 54;023.833.252;outilcrosse2016.alger@gmail.com;;;
EURL PROMO IMMO BA TOULHADJ;ROUTE N 41 RESIDENCE LE PLATEAU ILOT DE PROPRIETE N 982 CESSION 02 LOT 418424;ALGER;Algerie;023 36 10 75;023 36 10 75;;;;
EURL RAK TECH;COOP EL MOUTADAMINOUN EL EULMA;SETIF;Algerie;;;;;;
EURL ROUMANICOLOR;RUE MASKER ALI MOUZAIA BLIDA;BLIDA;Algerie;0550 49 73 58 ;025 44 50 31;stareurlrahmounicolor@yahoo.fr;;;
EURL SAM I SEC;CITE MOHAMMADIA BT25 N°547 - ALGER;ALGER;Algerie;023 72 15 50;023.72.12.22;samisec-groupe@yahoo.fr/info@sam isec.com;;;
EURL SEKCERAM;ZONE D'ACTIVITE 6eme TRANCHE LOT 48 W.SETIF;SETIF;Algerie;036.44.91.41/442/43;036.44.91.38;import.dg@sekceram.com;;;
EURL SETIF MAILLE DE SIGNAL ISA TION;23 BP 40 BIS AIN ARNAT W.SETIF;SETIF;Algerie;036.54.12.26;036.54.10.60;;;;
EURL SOCIETEZOUAOUITRAVAUX DE CONSTRUCTION;400 LOG COOP EL HOCINI CITE BENBEGUEG;SETIF;Algerie;0560 06 91 10 ;036 74 18 53 ;eurl_zouaoui@yahoo.fr;;;
EURL TECHAMPLUS;N° 14 RUE 20 AOUTTELEMCEN;TLEMCEN;Algerie;0550.16.72.79/043.43.47.79 ;043 43 47 79;;;;
EURL TIZIVITRANA;ZONE D'ACTIVITE LOT 109, DRAA BEN KHADDA W.TIZI OUZOU;TIZI-OUZOU;Algerie;0561.61.63.45/46/44;026.43.32.31;tizi.vitrana@hotmail.com;;;
EURL TMAC;RUE ARAFOU AKBOU;BEJAIA;Algerie;33          33 50 37;33          33 50 37;;;;
EURL TOPOCENTER;ZONE BOUHIRED COOP BADR, VILLA N°12 SOUIDANIA 16097 ALGER;ALGER;Algerie;023 27 87 11;023 27 87 11;info@topocenter-dz.com;;;
EURL TOUTBETONSYSTEM;LOT F 17 LA CARRIERE EL MARSA ALGER;ALGER;Algerie;0561 64 74 90/0560.65.64.18 ;023.95.74.47;contact@betonsystem-dz.com;;;
EURL TW IMPORT EXPORT;RUE DE SUD N 18 GDYEL;ORAN;Algerie;41287345;41287345;;;;
EURL UNIVERSAL FIL;50 RUE OULED BELHADJ SAOULA ALGER;ALGER;Algerie ;;;universal_fil@hotmail.mail;;;
EURLZERFA TRANSFORMATION DE METAUX;CITE BOUAKAZ FESDIS W.BATNA;BATNA;Algerie;0555.222.153;;;;;
EURL ZHONG YU;04 AID ALI BLIDA;BLIDA;Algerie;0561 969 47 87 ;025 49 07 55 ;aishym@hotmail.fr;;;
EUROWIN SARL;360 CITE TAHAR BOUCHET TIXERAINE BIRKHADEM ALGER;ALGER;Algerie;2,14E+11;;;;;
EXOSAFE EURL;ROUTE DE GASBAT N'GAOUS BATNA;BATNA;Algerie;033.88.71.23;033.88.71.23;contact@exo-safe.com;;;
EZZAHIRI EURL;CITE DES FRERES BENCHADI ROUTE DE CONSTANTINE;BATNA;Algerie;0770.94.18.41;033.80.20.58;eurlzahiri@yahoo.fr;;;
FRERES AMOURI IMPORT EXPORT SOFRAMIMEX SARL;HAI SIDI GHZEL ROUTE DE BATNAW.BISKRA;BISKRA;Algerie;033 74 12 48/021.81.96.37 ;033.74.12.46/021.81.96.37 ;sarl-soframimex@yahoo.fr;;;
GAEA CHINA CONSTRUCTION LIMITED COMPANY EURL;CITE AISSAT IDIR N°196 CHERAGA ALGER;ALGER;Algerie;0560 60 00 01;;;;;
GAINE ELECTRIQUE- MOHAMED HADJ;CITE 8 MA11945 MOHAMMADIA;MASCARA;Algerie;;;;;;
EURL IMMO MUL TISERVICING;RUE ALI BOUHADJA LOCAL F BIRTOUTA ALGER;ALGER;Algerie;0559.75.76.46/023.44.12.06;023.58.43.93;IMMO.MULTUSERVICING@YAHOO.COM;;;
GAMMITAL SARL;HA I BEN DANOUNE CLASSE 07 GP N°300 LOCALN°02KHEMIS KHECHNA W.BOUMERDES;BOUMERDES;Algerie;0770.33.19.00;;SARLGAMMITAL@GMAIL.COM;;;
GBPRO-PVC;CITE 50 LOTS PARTICPATIF PROJET BOUROUAG N° 04 BT CHELGHOUME LAID;BATNA;Algerie;552474855;;;;;
GEMAPRO SARL;DOMAINE TAMAK LOT N° 449 BIS EX ROUTE D EMEFTAH N° 95 BEAU LIEU;ALGER;Algerie;023 92 66 00 / 023 92 66 88; 023 92 69 13;toufik.mekouche@gemapro-dz.com   ; www.gemapro-dz.com;;
GIL DIVINDUS;PAVILLON 12 RESIDENCE LA BUTTE DES DEUX BASSINS OUAD-ROMANE;ALGER;Algerie;021 94 75 84-85 021 94 75 84-85;;;;;
GRANITEX NOUVEUX PRODUITS;ZONE INDUSTRIELLE OUED SMAR;ALGER;Algerie;021 5166 81/82 021 51 64 22/65 ;;amahleb@granitex.dz;;;
GROUPE RAHMANI;Zl ROUAG OULAD MANSOUR MS I LA;M'S I LA;Algerie;35         34 13 04;35         34 13 04;;;;
GROUPEAMARA ACER SARL;CITE DES MARTYRS BORDJ MENAIEL BOUMERDES;ALGER;Algerie;0560 47 31 28 ;024.88.78.67;rabah8049@yahoo.fr    /    contact@gaa-dz.com;;;
GROUPE BCR;Cite Bizar BP 37 Setif 19000;SETIF;Algerie;35         74 96 25;35         74 96 27;info@bcr.dz;;;
GROUPE BOUROUA G CONS TRUC TION;UV 18 CITE 169 LOGTS BT 03 NOUVELLE VILLE W.CONSTANTINE;CONSTANTINE;Algerie;031.86.61.99;;RYMA-CORPORATE@OUTLOOK.FR;;;
GROUPECONSEIL INTERNATIONAL CGISARL;11 LOT EL DJAZAIR VILLA N°29 LES VERGERS BIRKHADEM ALGER;ALGER;Algerie;0770.95.38.00;021.56.45.02;OVERSEASCGI;;;
GROUPE GEICA;7 RUE BELKACEM AMANI SITE SIDER CHALET N° 9 HYDRA ALGER;ALGER;Algerie;023 53 43 30;023 53 43 33;geica.communication@gmail.com/geica@geica.dz;;;
"GROUPE INDUSTRIEL DES CIMENTS DALGERIE ""GICA VCETIM";ROUTE DE DAR EL BEIDA MEFTAH W.BLIDA;BLIDA;Algerie;025.45.61.98;025.45.63.28;secretariat.dg@gica.dz;;;
GROUPE MECHICHEAUTO SARL;COMMUNE DE TELLA SETIF ALGERIE;ALGER;Algerie;0559 78 91 97; 036 64 90 90;;;;
GROUPE NECHMA;CITE OUEDFORCHA N°148 W.ANNABA;ANNABA;Algerie;0560.09.73.68;;INFO@NECHMA.COM;;;
HDM BUSINESS SARL;CITE NOURDDINE ADEL GROUPE Z N° 03 EL HAMIZ DAR EL BE I DA ALGER;ALGER;Algerie;0552 03 37 64 ;;hdm.business@yahoo.com;;;
HIDHAB LAM SARL;ZONE D'ACTIVITE SECTION 06 GROUPE 45 LOT N° 17 KASR EL ABTAL SETIF;SETIF;Algerie;0553 42 10 02 ;;sarlhidhabblamka@gmail.com;;;
HIGH TECH SECURITY;10RUE DE TRIPOLI HOSSEIN DEY;ALGER;Algerie;;;;;;
HIGHTPLASTEURL;ZONE D'ACTIVITE EL MADHER;BATNA;Algerie;0550 38 19 27 ;033 82 21 13;;;;
HILTICONSTRUCTION EQUIPEMENTS;14 LOT MAHIEDDINE SIDI HASSENE CHERAGA ALGER;ALGER;Algerie;023 36 05 99 / 0555 04 77 25 ;023 36 05 99 ;rima.mechrouk@hiltii.com;;;
HYDRO CANAL -GROUPE ET FILIAL ES;R N N°5 EL MOHAMMADIA;ALGER;Algerie;023 75 73 38;023 75 73 38;;;;
IMA PLUS;34 RUE ALI CHERIF KOUBA;ALGER;Algerie;023 78 14 54;023 78 14 54;;;;
INERGA SPA;ROUTE NATIONALE N°1 B.P. 104 - BOUFARIK - 09400;BLIDA;Algerie;025 28 37 41;025 28 37 41;amir28@hotmail.com;www.inerga_dz.com;;
INFRARAIL SPA;15 RUE COLONEL AMIROUCHE - ROUIBA -ALGER;ALGER;Algerie;023.89.41.60/023.89.41.67;023.89.41.59;infrarail_dtc@yahoo.com/am eursarah.dtc@gmail.com www.infrarail.dz;;;
INNOVA CERAMSARL;ZONE INDUSTRIELLE SETIF ALGERIE;SETIF;Algerie;+2013 36 62 52 89/ +213 36 62 53 53 ;+213 36 62 52 52;resp.design@innovaceram.com;;;
INTER PREFA SPA;Zl CHETOUANE DESSERT N° 03 TLEMCEN;TLEMCEN;Algerie;0213 43 27 87 93 ;213 43 27 87 93;MARKETING@GROUPEKHERBOUCHE.COM;;;
ISOCLIMSARL;CENTRE DES AFFAIRES OCIAZ BUEAU N°25ZERALDA;ALGER;Algerie;021 4487 40;021 ?40 29 43;isoclim@yahoo.fr;;;
JANVIC ALGERIE SARL;CITE 128 LOGTS BT C2 N°13W BLIDA;BLIDA;Algerie;0554.82.13.84;;BETAPRODUCTION2019@GMAIL.COM;;;
KA IS COMMERCE META UX PL US;ZONE INDUSTRIELLE PONT BOUCHET N°103 HADJAR W.ANNABA;ANNABA;Algerie;0551.19.71.81/0560.02.84.70;038.42.09.22;eurl.kais@yahoo.com;;;
KCPHSARL;RN 05 BOUMERGUED BORDJ 34000;BORDJ-BOU-ARRERIDJ;Algerie;0560 69 48 81;;;;;
KNAUF PLATRES SARL;CHEMIN DE WILAYA N°64, 31063 BENFREHA GDYEL;ORAN;Algerie;041 76 34 70 a 83 ;041 76 34 78;reda.bencharef@knaufalgerie.com;;;
KORAK ASCENSEURS SARL;ROUTE NATIONALE N°1 GRINILLAR OUS SOL A3 LOCALN°31 BIRKHADEM ALGER;ALGER;Algerie;0557.08.48.19/0541.132.170;;;;;
KORSEURL;RUE ZIOUANE MOHAMED N° 46 BENI TAMOU BLIDA;BLIDA;Algerie;560313633;;SARLALFO@GMAIL.COM;;;
KYSA SERVICE SARL;CITE KHAITI N 178 129 STAOUELI 16101;ALGER;Algerie;023 42 06 22/23/0661 30 57 74/ 0661 53 76 00 ;;nadia.chaouti@gmail.com;;;
LADJIMI PROFILE;CITE ALI KHODJA 02 N°02 BORDJ EL KIFFAN ALGER ALGERIE;ALGER;Algerie;;;;;;
LES GUIDES PRATIQUE DALGERIELGPA SARL;N°31 COOPERATIVE EL BAHDJA BIR KHADEM ALGER;ALGER;Algerie;023/52/95/14/0775/81/53/54;023/52/95/14;contact@lgpalgerie.com;;;
MEDICLIM/CHELLALIMAHDI;RUE DU 1 er NOVEMBRE C-A LOCAL N 39 BOU ISMAIL;ALGER;Algerie;23280936;23280936;;;;
MEDIPLOMB SARL;ZONE INDUSTRIELLE AMARA LOT 551 N° 04 CHERAGA ALGER;ALGER;Algerie;0661 51 59 76 /0661 51 63 46 ;23133405;mediplomb@hotmail.fr;;;
LASMIMOURAD;SMARA GROUPE 122 LOTS N°01 GUIDJEL W.SETIF;SETIF;Algerie;0560.05.05.75 ;;lasmimourad@yahoo.com;;;
MEDITRRANEAN FLOA TGLASS;29 ROUTE DE MEFTAH LARBAA 09 300;BLIDA;Algerie;;;;;;
LAFARGE CIMENT MSILA;CENTRE COMMERCIAL BAB EZZOUAR TOUR N°02 ETAGE 5 ET 6 ALGER;ALGER;Algerie;023 92 42 95;023 92 42 94;;;;
METAL STRUCTURE SPA;SIEGE USINE Z.l SIDI KHALED OUED EL BERDI BOUIRA;ALGER;Algerie;0770 32 28 21 /0770 96 93 91 ;;MERZOUKAMIROUCHE@CEVITAL.COM;;;
MIA MA TERIELSINDUSTRIELS ETAGRICOLES;31 RUE COLONEL AMIROUCHE BP 148 BORDJ EL KIFFAN;ALGER;Algerie;021 21 56 45;021 20 29 53;;;;
MINIROS SARL;9 HA I BEN CHAOUA KHAICIA 16203 BP 8 ALGER;ALGER;Algerie;020 33 50 04 / 0550.59.15.05/0661.40.22.64; 020 33 50 04;minoros_ctd@yahoo.fr /  KAIMA_R2@HOTMAIL.COM  /  baslimane@miniros.com;;;
MODUVI CONSTRUCTION MODULA IRE;02 RUE DJENANE EL MALIK - HYDRA ALGER;ALGER;Algerie;023.48.22.36/024.59.33.03;023.48.22.36/.24.59.33.03;contact@moduvi.com/commercial@moduvi.com/samy.assous@moduvi.com;;;
MORTIER BLANC;BOUDJELLIL CENTRE W.BEJAIA;BEJAIA;Algerie;550378378;;;www.mortierblanc.com;;
MOUAS BUILT;CITE EL BIADHA SEC N 01 GROUPE N 94 LOCAL;BOUMERDES;Algerie;;;;;;
MSA TECHNOLOGIES;16 COOPERATIVE ATADHEMENE 43001 CHELGHOUM LAID W.MILA;MILA;Algerie;0555 99 51 56/0661 44 51 56 ;;msatechnoloies.dz@gmail.com;;;
MONO ELECTRIC;198 GROUPE 1 ROUTE DE DOUERA BABA HASSEN ALGER;ALGER;Algerie;021.340.494/600;021.340.504;CONTACT@MONOELECTRIC.COM;;;
MONDIAL PRESTIGE SARL;PARC DES LOISIRS CAROUBIEE HUSSEIN DEY;;Algerie;0555-00-66-13;023-20-91-20;;;;
AM TRA INTERNA TIONAL SPA;ROUTE DE KHAROUBA BOUDOUAOU;BOUMERDES;Algerie;24          84 35 10;24          84 23 37;;;;
NEGOCEAUTO SERVICE SPA;RN N° 05 ZONE INDUSTRIELLE ROUIBA ALGER;ALGER;Algerie;023.87.36.74/0560.07.88.46 ;021 81 57 91;fella.berca@reseauxpoidslourds.com;;;
NOD CONSTRUCTION SYSTEMS SARL;LOT N°79 EL ACHOUR ALGER;ALGER;Algerie;023 33 24 00;023 33 29 99;nodyapi092014@gmail.com;;;
OMEDIA EURL;42 RUE ALI KHOUDJA BORDJ EL KIFAN ALGER;ALGER;Algerie;023 80 26 28;023 80 18 04;contact@omedia.dz;;;
ORKILA ALGERIE SPA;233 R.N OULED FAYET ALGER;ALGER;Algerie;023 28 92 81;023 28 92 02;mustapha.kouar@orkila.com;;;
OXXO ALGERIE SPA;15 BOULEVARD SAID HAMDINE BIR MOURAD RAIS ALGER;ALGER;Algerie;021.44.56.12;021.44.53.89;oxxo.3dg@oxxo.dz;;;
PETROGEL;N°18 LOT BENFLIS ROUTE DE BISKRA BATNA 05000;BATNA;Algerie;033 25 46 65;0233 25 46 67;a.atoui@petrogel.dz;;;
PH COLOR;ROUTE NATIOANALE 29 ARBATACHE;BOUMERDES;Algerie;0661 52 08 53 ;;phcolor@hotmail.fr;;;
PIGMA COLOR SARL;Z.l SIDI KHALED OUED EL BERDI 10490W.BOUIRA;BOUIRA;Algerie;0560.94.79.97;;;;;
PRO DIS TRIBUTEUR;BP 61 ECHANGEUR BOUFARIK NORD 09400 BLIDA;BLIDA;Algerie;24         28 39 12/13 ;025 28 39 14 ;billal@sfmotools.com;;;
PROFINISH SARL;AIN ABDALLAH BT F RDC BOUMERDES;BOUMERDES;Algerie;024 70 93 91 /0542 02 82 67 ;;contact@profinsh-dz.com;;;
REDUCOM;136 RUE DAIB AISSA COLLINE ZINA 02 BORDJ EL KIFFAN 16031 ALGER;ALGER;Algerie;021.20.11.15-16;021.20.11.10;;;;
ROYAL CERAM;OULED MEZOUAR COMMUNE OULED FADEL DAIRA TIMGAD;BATNA;Algerie;;;;;;
SABISYSTEMS;32 RUE YAHIA EL MAZOUNI EL BIAR ALGER;ALGER;Algerie;023 05 34 63/67 ;023 05 34 68;infocontact@sabisystems.com@sabisystems.com;;;
SADECDURISOL;ROUTE N 046 ROUMANA EL HOUAMED;M'S I LA;Algerie;021 51 66 81 /82 ;021 51 66 81 /82;;;;
SAFI MACHINERY EURL;Z.l ROUTE DU GENIE LOT N° 14DAR BEIDA ALGER;ALGER;Algerie;0561 73 94 55;;;;;
SANIT2000 MAMI EURL;CITE BOUAROUA RUE AOURI DERRADJI SECT235 ILOT W.SETIF;SETIF;Algerie;0661.35.18.84/036.53.24.82/036.44.52.89;036 52 29 59;sanit2000@yahoo.fr;;;
SARCERAMIQUESPA;Z.l AOMAR W.BOUIRA;BOUIRA;Algerie;026.90.83.11;;;;;
SARL CARREAUX DU SAHEL KOLEA - C.S.K;Z-l DU MAZAFRAN BP 73 KOLEA w.tipaza;TIPAZA;Algerie;024 52 23 20/0665.376.112 ;024.52.10.20;cskolea@gmail.com/contact@cskolea.com;;;
SARL ALRECOM;475, AHMED GHAZI- B.P.13.BARAKI-16210.;ALGER;Algerie;021.53.39.39;021.53.42.42;contact@alrecom .com;www.alrecom.com;;
SARL ALTUB;LOT. 178 . ZONE INDUSTRIELLE OUED SMAR ALGER;ALGER;Algerie;023.93.95.60/ 023.93.95.63/0550.111.000/0770.90.80.81;023.93.95.65;a.chettabi@altub-dz.com;www.altub-dz.com;;M. AMRANI OMAR / 0550.07.96.95
SARL BATIVERT;08 RUE DES FRERES OUDAHMANE LOCAL N°02 TIZI-OUZOU. 15000;TIZI-OUZOU;Algerie;026.20.91.91;026.20.92.94;info@bativert-dz.com;www.bativert-dz.com;;026.22.21.37/021.50.58.27/ 026.22.29.59562 I.F. 099915011231632
SARL BLIDA MACHINES;BP 45 ZAOUIA NOUVELLE BENI TAMOU W.BLIDA;BLIDA;Algerie;025.31.71.45/46.66 ;025 31 71 40/43 ;contact@blidamachine.dz;;;
SARL BUILDIMA TS;24 RUE ALI HAMZA DELY IBRAHIM ALGER;ALGER;Algerie;0550.47.25.07/0550.47.72.98;023.27.47.44;buildimats@hotmail.com;;;
SARL FAIENCERIE ALGERIENNE;LOT N° 07 ZONE INDUSTRIELLE ROUIBA;ALGER;Algerie;0561 61 91 93/023.86.22.30-31 023.86.22.34 ;;mbererhi@groupefa.com ;www.groupefa.com;;
SARL NEW TECHMETAL ALGERIE;CITE AMIREUCH AV MED KHEMISTE N 62;MOSTAGANEM;Algerie;045 30 82 95;045 30 82 93;;;;
SARL POLYTECH BS;CITE SONELGAZ VILLA N° 15 GUE DE CONSTANTINE KOUBA;ALGER;Algerie;0550 35 36 68/023.71.40.78 ;023 71 14 78023 71 40 78 ;soft.ben@hotmail.fr;;;
"SARL ""SPS"" SYSTEMEPANNEAUXSANDWICHS";ZONE INDUSTRIELLE EL-ALIA - B.P151 BAB-EZZOUAR .-16312;ALGER;Algerie;023.83.97.00;023.83.97.0   ; info@sps-dz.com  ;;;M.AIT OUALI
SARL . I2B;06 RUE AHMED CHERIFI - KOUBA;ALGER;Algerie;023.78.63.47;023.78.63.39;contact@i2b-dz.com;;;
SARL AFRICA MUL TIPLE;02 LOT COOPERATIVE EL FALLAH AIN NAADJA;ALGER;Algerie;0770.95.97.06/0770.95.97.07/0550 55 40 90;023.52.02.30;ntalmat@hotmail.com;;;
SARL AFRIQUEETANCHE;62 LOT SAIDI AHMED BORDJ EL KIFFAN;ALGER;Algerie;023.97.40.49;023.97.40.50;afrique tranche@hotmail.com;;;
SARL AGNAR;ZONE D'ACTIVITE KAIDI BLOC 37 BEK ALGER;ALGER;Algerie;0560.92.0.     26;;ABBES_BRAHIM16@YAHOO.FR  /  SARL.AGNAR2017@GMAIL.COM;;;
SARL AGUA SYSTEME;SEMARA GROUPE DE PROPRIETE 174 SECTION 12 GUIDJEL W.SETIF;SETIF;Algerie;036.625.190/0550.561.388;;BC_BOUADJIL@YAHOO.FR;;;
SARL AHTPVCALUMINIUM;HA I BEN YETTOU 31 SECTION 03 BENI TAMOU BLIDA;ALGER;Algerie;0560 31 36 33 ;;sarlalfo@gmail.com;;;
SARL ALFA ASCENSEURSALGERIE;176 FERME PONSE KOUBA ALGER;ALGER;Algerie;023.70.18.31;023.70.18.33;dj.ouadahii@alfaascenseurs-dz.com;;;
SARL ALG BUSINESS DEVELOPMENT;17, LOT 28 HAI EL MENZEL KHERICIA ALGER;ALGER;Algerie;0771 22 96 26 ;;agbude@yahoo.tr;;;
SARL ALGAL PLUS;SIEGE 5 LOT EL FETH JOLIE VUE KOUBA ALGER;ALGER;Algerie;021.28.34.65;021.28.34.65;info@algalplus.com;;;
SARL ALGERIA AND CHINA GROUP INDUSTRIES;Z.l SENIA 2 CLASSE 1 ILOT 13 ORAN;ORAN;Algerie;041 61 70 33;;;;;
SARL ALGERIEDALLAGE;06 RUE YOUGHOURTA ALGER CENTRE 16000;ALGER;Algerie;023 35 24 59/0770..54.51.39 ;023 35 24 59 ;md_lamine@yahoo.com;;;
SARL ALGERIE SERVICE ASCENSEUR;LOTISSEMENT BENBOUALIA N°79 AIN ABID W.CONSTANTINE;CONSTANTINE;Algerie;031.78.65.99/023.82.36.70 ;;contact@as-ascenseur.com;;;
SARL ALL STORES;CENTRE DES AFFAIRES EL QODS N°10/07 CHERAGA ALGER;ALGER;Algerie;021.34.10.83;021.34.10.83;ALLSTORES-ALGER@HOTMAIL.COM;;;
SARL ALSOCHEM;21. ROUTE DE MEHELMA DAIRA DE 16063 ZERALDA ALGER;ALGER;Algerie;021 32 00 40/ .77.53/97.59;021.32.0.       34;nacer.yahi@redaction.com;;;
SARL ALTITUDE SAFETY;BEN MERAD LOT N°03 GROUPE 230 BORDJ EL KIFFAN;ALGER;Algerie;0550 59 25 75 ;;bouzid.m@alpiniste-industrie.com;;;
SARL AL TRACTORS;LOT N°4 ROUTE DES DUNES CHERAGA ALGER;ALGER;Algerie;023 22 66 00 a 04 ;023 62 91 a92;haroune.azizane@altractors.com;;;
SARL ALUBOUG;CITE DES EXPERTS DAR EL BEIDA ALGER;ALGER;Algerie;;;;;;
